取得日時,取得URL,名称,住所,代表者,事業内容,所在地,募集地域,初期費用,設立,資本金,電話番号
2025/11/05 12:20:07,https://b-seeds.com/vending-machine02,"//b-seeds.com/kiyaku"">利用規約</a>をご確認のうえ資料請求してください</center> <br />",都23区の平均報酬額は12万円/1台です｡ ＊設置1台に対しての営業報酬です｡ ＊メーカー査定金額：(販売見込み本数・設置場所・設置工事(電気等)の有無により異なります｡) ＊見込み本数は：100本単位で概算紹介金額は変わります｡ ＊見込み本数が300 本/月未満の設置場所の場合は、要相談かご希望に添えない場合がございます｡,,,,,,,,
2025/11/05 12:20:08,https://b-seeds.com/dococab,"//b-seeds.com/kiyaku.html"">利用規約</a>をご確認のうえ資料請求してください</center> <br />","都千代田区飯田橋2-18-4 代表者 代表取締役社長 大塚裕司 創業 1961年7月17日 年商：5,595億円(2015年度連結6,090億円) 従業員数：6,837名(※2015年末日｡連結子会社を含めた従業員数8,387名) 事業内容 ・システムインテグレーション事業/コンピュータ、複写機、通信機器、ソフトウェアの販売及び受託ソフトの開発など ・サービス&サポート事業/サプライ供給、保守、教育支援など",,,,,,,,
2025/11/05 12:20:08,https://b-seeds.com/printhoudai,株式会社サップ (英文名称：SUP Inc.),【本社】東京都中央区日本橋小伝馬町4番2号 第23中央ビル 【西日本営業部】大阪府大阪市中央区久太郎町3丁目4番30号 船場グランドビル9F 【名古屋営業所】愛知県名古屋市中区栄4丁目16番8号 栄メンバーズオフィスビル612号 【福岡営業所】福岡県福岡市博多区中呉服町1番12号801号室,代表取締役 北中 彰,トナー・インク関連事業 オフィス用品およびオフィスサービス事業 他,【本社】東京都中央区日本橋小伝馬町4番2号 第23中央ビル 【西日本営業部】大阪府大阪市中央区久太郎町3丁目4番30号 船場グランドビル9F 【名古屋営業所】愛知県名古屋市中区栄4丁目16番8号 栄メンバーズオフィスビル612号 【福岡営業所】福岡県福岡市博多区中呉服町1番12号801号室,全国,"50,000円",,,
2025/11/05 12:20:09,https://b-seeds.com/drleather,"//b-seeds.com/kiyaku.html"">利用規約</a>をご確認のうえ資料請求してください</center> <br />",府大阪市西区京橋堀1-7-9東洋ビル4階 設立 2004年11月 代表者 取締役社長 池田直美,,,,,,,,
2025/11/05 12:20:09,https://b-seeds.com/inaba-box,"active""></textarea> </td> </tr> </tbody> </table> <br /> <div class=""news-t""><input class=""form_btn"" value=""送信"" type=""image"" src=""/images/stories/common/button.gif"" name=""sbm"" alt=""資料請求する""></div> </form> <br /><center>※利用規約をご確認のうえ資料請求してください</center> <br />",都大田区矢口2-5-25 営業開発部イナバボックス課：〒144-0051 東京都大田区西蒲田7-61-1 代表者 代表取締役社長 稲葉明 資本金 11億3204万8500円 従業員数:896名(2011年7月31日現在) 事業内容 オフィス家具および物置の製造、販売,,,,,,,,
2025/11/05 12:20:10,https://b-seeds.com/smartinterwork,"active""></textarea> </td> </tr> </tbody> </table> <br /> <div class=""news-t""><input class=""form_btn"" value=""送信"" type=""image"" src=""/images/stories/common/button.gif"" name=""sbm"" alt=""資料請求する""></div> </form> <br /><center>※利用規約をご確認のうえ資料請求してください</center> <br />",都千代田区神田神保町3-25-11 九段中央ビル 代表者 代表取締役 庄司公明 設立 2006年10月 事業内容 セキュリティデバイス・情報通信機器の開発・販売他 主要取引先 JNS株式会社、株式会社Kaspersky Labs Japan、NTTアイティ株式会社、株式会社アイ・ティ・エンジニアリング、株式会社アクロネット、イー・アクセス株式会社、キングソフト株式会社、株式会社グロービクス、株式会社シーピーアイ・リバティー・算法、株式会社シスコ、株式会社シスプロ、株式会社スカイコム、ソフトブレーン・インテグレーション株式会社、株式会社ソフトウエア・サイエンス、大興電子通信株式会社、蓼科情報株式会社、都築電気株式会社、株式会社日鉄エレックス、丸紅OKIネットソリューションズ株式会社、株式会社ネットマークス、富士通株式会社、株式会社富士通ワイエフシー、株式会社プロリンク、ユニアデックス株式会社、株式会社ロムウィン(敬称略),,,,,,,,
2025/11/05 12:20:11,https://b-seeds.com/syokai,"active""></textarea> </td> </tr> </tbody> </table> <br /> <div class=""news-t""><input class=""form_btn"" value=""送信"" type=""image"" src=""/images/stories/common/button.gif"" name=""sbm"" alt=""資料請求する""></div> </form> <br />",都港区南青山2-4-17 富士南青山ビル2F 創業 2005年4月1日 代表者 代表取締役 佐藤 康人 事業内容 代理店構築支援、「代理店募集.com」運営,,,,,,,,
2025/11/05 12:20:11,https://b-seeds.com/alphamail,"active""></textarea> </td> </tr> </tbody> </table> <br /> <div class=""news-t""><input class=""form_btn"" value=""送信"" type=""image"" src=""/images/stories/common/button.gif"" name=""sbm"" alt=""資料請求する""></div> </form> <br /><center>※利用規約をご確認のうえ資料請求してください</center> <br />","都千代田区飯田橋2-18-4 代表者 代表取締役社長 大塚裕司 創業 1961年7月17日 年商：5,595億円(2015年度連結6,090億円) 従業員数：6,837名(※2015年末日｡連結子会社を含めた従業員数8,387名) 事業内容 ・システムインテグレーション事業/コンピュータ、複写機、通信機器、ソフトウェアの販売及び受託ソフトの開発など ・サービス&サポート事業/サプライ供給、保守、教育支援など",,,,,,,,
2025/11/05 12:20:11,https://b-seeds.com/diamondsemi,"active""></textarea> </td> </tr> </tbody> </table> <br /> <div class=""news-t""><input class=""form_btn"" value=""送信"" type=""image"" src=""/images/stories/common/button.gif"" name=""sbm"" alt=""資料請求する""></div> </form> <br /><center>※利用規約をご確認のうえ資料請求してください</center> <br />","都渋谷区神宮前6-12-17 ダイヤモンドビル 設立 1933年5月25日(創業 1913年5月) 代表者 代表取締役社長 鹿谷史明 資本金 1億4,000万円 事業内容 雑誌・書籍・CD-ROMの発行・販売／各種会員制情報サービス事業／人材開発サポート事業／データベースサービス(情報提供)／各種編集、制作受託",,,,,,,,
2025/11/05 12:20:12,https://b-seeds.com/telesales,"active""></textarea> </td> </tr> </tbody> </table> <br /> <div class=""news-t""><input class=""form_btn"" value=""送信"" type=""image"" src=""/images/stories/common/button.gif"" name=""sbm"" alt=""資料請求する""></div> </form> <br /><center>※利用規約をご確認のうえ資料請求してください</center> <br />",都新宿区西新宿3-17-7西新宿TOKビル 10F 代表者 代表理事 中村和彦,,,,,,,,
