取得日時,取得URL,名称,住所,設立,代表者,事業内容,資本金,従業員数
2025/11/05 12:00:59,https://dairitenboshu.com/syo/9459,JMSシステム,福岡県北九州市小倉北区京町青木ビル,2011年,谷口奈美,飲食店向け日報経理システム「アットコスト」の開発、販売,,
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9460,株式会社ジーユーワークス,東京都千代田区岩本町グレンパーク秋葉原イースト,5 年,,ISOやプライバシーマークなどの認証取得支援業務,,
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9461,株式会社納谷総研,埼玉県さいたま市南区文蔵グラディート南浦和１０１,2007年,納谷敦,１、賃貸マンション退去後の内装原状回復に伴うハウスクリーニング事業 ２、ハウスクリーニング業ハーテクスチェーンの代理店運営管理,1500万円,4人
2025/11/05 12:00:59,https://dairitenboshu.com/syo/9462,株式会社GLAB,広島県東広島市黒瀬町宗近柳国889-1,2008年,蒲田和芳,(1) コンサルティング (2) セミナー・研修会等の開催・事務局代行 (3) 調査・研究 (4) ウェブサイト開発・運営株式会社,200万円,
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9463,株式会社ナオシス,大阪府大阪市西区京町掘１－７－９ 東洋ビル４階東洋ビル４階,2004年,池田直美,バッグなどの革製品の染め加工・修理,300万円,12人
2025/11/05 12:00:59,https://dairitenboshu.com/syo/9464,株式会社ベジット,東京都赤坂,2011年,,自動販売機の設置・運営・コンサルティング業務,1000万円,10人
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9465,㈲トライスメディア,東京都立川市柴崎町3-7-25,2001年,高嶋俊文,携帯電話の修理及び買取 業務用カラオケ機器の販売修理,,
2025/11/05 12:00:59,https://dairitenboshu.com/syo/9466,株式会社Rit,埼玉県さいたま市大宮区桜木町2－308－43F,2010年,高橋朋也,当社はiPhone修理専門店の加盟店募集をしております。iPhone修理サービスは粗利益率60～70％という高いビジネスです。その上、店舗面積2坪から可能で坪効率も高く、兼業で経営する場合も単独店でも大きな成果を上げています。また、立地条件も店舗の2階や裏路地などという二等地でよいのです。それは、専門性が高いサービスで口コミが広がりやすいという点とお客様がインターネット経由で来店することが多いからです。 iPhone修理はApple認定の正規店がございますが、交換対応のためデータを移行しないといけない点、修理する方が多くて長時間待たされる点、水没修理等の対応をしていないなどの理由で非正規店での需要が高まっております。現在、名刺屋さん、写真屋さん、飲食店、電気屋さん等でのインショップをはじめ、遊休店舗の活用など多方面で当社のビジネスを導入されています。 もし、関心がありましたら当社担当者まで電話等でお問い合わせ下さい。 資料を無料でお送りさせて頂きます。,300万円,8人
2025/11/05 12:00:59,https://dairitenboshu.com/syo/9468,株式会社SYOUTEN,東京都千代田区神田須田町1-3-7神田ランドビル2B,2001年,塩田伸吾,各種ポータルサイトの運営・企画・販売、飲食店の出店サポート、ビルサブリース,200万円,5人
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9469,ポスモプラザ株式会社,東京都中野区本町３－４－３,2012年,朝枝 繁,居宅介護支援事業、訪問介護事業、障害福祉サービスの直営/フランチャイズ募集。 上記事業体のフランチャイズ本部運営。,950万円,12人
2025/11/05 12:00:59,https://dairitenboshu.com/syo/9470,有限会社メディカ,愛媛県松山市余戸東4-9-16株式会社メディカグループ,2006年,石崎隆志,,900万円,
2025/11/05 12:00:59,https://dairitenboshu.com/syo/9471,ポスモプラザ株式会社,東京都中野区本町３－４－３,2010年,朝枝 繁,中古車の販売・買取り「ポスモプラザ」の直営。 上記、販売代理店管理。,950万円,12人
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9472,株式会社クリーネ,東京都荒川区東日暮里１－１７－２,2007年,,ハウスクリーニング、クロス張替、各種修繕工事、大工工事、エアコン洗浄、 原状回復工事。,1000万円,30人
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9473,一般社団法人 日本配食サービス協会,東京都千代田区外神田６−１５−１１日東ビル７０１,,吉田幸生,高齢者向け配食サービスの開業支援 顧客紹介サイトの運営http://haisyoku.jpn.com/madoguchi Ｍ＆Ａ ＨＰの作成,,
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9474,株式会社日本オートプラザ,大阪府大阪市淀川区西中島6-2-3チサン第七新大阪8Ｆ,2001年,渡辺岳明,中古車販売代理店チェーン運営,,20人
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9475,株式会社結婚情報センター,大阪府大阪市西区新町１－２－１３新町ビル９Ｆ,,,,,
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9476,オーエスケー合同会社,東京都中央区東日本橋2-28-4日本橋CETビル,2009年,大野カズミ,サプリメント・化粧品・アロマ製品の開発、輸入、製造及び販売 ホームページの企画・立案・制作・運用・保守・管理 インターネットによる情報処理、通信販売及び情報提供サービス 市場調査及び広告宣伝業務 サプリメントショップスタッフの教育、研修及びコンサルティング サプリメントショップ運営に関するコンサルティング,900万円,
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9477,キズナリンクス株式会社,千葉県松戸市根本3-12セザール松戸ビル1階,2014年,二又 秀樹,中古ブランドファッション関連のリユース事業 ネット事業,500万円,10人
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9478,ピーアールオー 匠乃トランク,兵庫県神戸市中央区磯上通6丁目1-15JMTビル3f,19年,門田真,宮内庁御用職人謹製 革トランクのオーダーメイド。 国内外各地より、ウェブサイトから革トランクのオーダーメイドを承っています。 個人の方のビジネスアタッシュケース、旅行用トランクや家具トランク、アパレル会社や工務店からディスプレイ用の大型トランク、デザイナーブランドからのコレクション用トランク、精密機械や楽器などのケースと多岐に渡ります。,,
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9479,株式会社コム・サイド,静岡県静岡市葵区千代1-18-293F,2009年,小林鉱史,広告企画・制作プロダクション,350万円,3人
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9480,株式会社リリーフ・アイ,東京都豊島区池袋本町1-17-4,2014年,吉村 啓,資格取得支援求人サイト Careers.com運営 キャリア形成支援事業 福利厚生支援事業 WEB製作事業 WEBプロモーション事業 マーケティング支援事業,,
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9481,株式会社アビリティＸ,東京都台東区谷中３－２４－４Ｋハウス204,2006年,岡村普,廃業市場の運営,560万円,1人
2025/11/05 12:01:00,https://dairitenboshu.com/syo/9482,パソコンサポート屋,東京都江東区大島5-48-9,2003年,永野典明,パソコンサポート屋自体はシステムエンジニアの集団です。 システム保守業を中心に展開しております。 弊社には、お客様からのパソコン修理依頼が入ってきます。 そこでフィールドサポート募集しております。 加盟金：150000円 保証金：300000円 パテント料：20000円/月 店舗出す場合は100～200万円位を想定,800万円,8人
2025/11/05 12:01:01,https://dairitenboshu.com/syo/9483,有限会社えんがわ,岐阜県各務原市鵜沼東町6-76-2ハイシンフォニー2F,2006年,横山宗正,"◆事業ミッション 「固定費0円!地域の中小零細企業に寄り添う経費削減担当者」 経費削減WIN!は「中小企業専門の経費削減・補助金パートナー」として、業界初！削減項目ごとに複数社との相見積・単価交渉を行う事で、お客様にとって適正な削減プランを実施しています。 経費削減％補助金プラン項目数は20項目以上、過去13年の相談件数 3,000件以上、削減成功率91.5%の実績。",600万円,
2025/11/05 12:01:01,https://dairitenboshu.com/syo/9484,株式会社ウィル,大阪府大阪市中央区内本町1-1-6内本町B＆Mビル6階,2008年,溝口 奈穂,社員研修、バーチャルオフィス、貸会議室、労務管理コンサルティング 2017年11月15日に株式会社ウィルへ社名変更しました。,1000万円,4人
2025/11/05 12:01:01,https://dairitenboshu.com/syo/9485,株式会社e-システム,東京都文京区大塚１－５－１８大伴ビル８Ｆ,2006年,横尾雅美,コスト削減プランニング,1000万円,
2025/11/05 12:01:01,https://dairitenboshu.com/syo/9486,株式会社beberise,東京都港区赤坂6-14-3近文ビル6階,2013年,八島国博,・家賃保証サービス ・不動産賃貸・売買・仲介・管理 ・レンタルオフィス・バーチャルオフィス運営 ・システム開発事業 ・ブライダル事業,1000万円,10人
2025/11/05 12:01:01,https://dairitenboshu.com/syo/9488,株式会社beberise,東京都港区赤坂6-14-3近文ビル6階,2013年,八島国博,・家賃保証サービス ・不動産賃貸・売買・仲介・管理 ・レンタルオフィス・バーチャルオフィス運営 ・システム開発事業 ・ブライダル事業,1000万円,10人
2025/11/05 12:01:01,https://dairitenboshu.com/syo/9489,株式会社Officebebe,東京都港区赤坂4-13-5赤坂オフィスハイツ,2010年,八島 国博,・振込手数料コストダウンサービス ・家賃保証サービス ・クレジットカード決済サービス ・ホームページ作成サービス ・レンタルプリンタ ・少額短期保険窓口 ・レンタルオフィス運営,1000万円,15人
2025/11/05 12:01:01,https://dairitenboshu.com/syo/9491,株式会社Officebebe,東京都港区赤坂4-13-5赤坂オフィスハイツ,2010年,八島 国博,・振込手数料コストダウンサービス ・家賃保証サービス ・クレジットカード決済サービス ・ホームページ作成サービス ・レンタルプリンタ ・少額短期保険窓口 ・レンタルオフィス運営,1000万円,15人
2025/11/05 12:01:01,https://dairitenboshu.com/syo/9492,ティダ株式会社,東京都大田区東糀谷2-7-15片岡ビル1F,2012年,菊地恵美子,■活魚及び魚介類及び観賞用生物等の飼育装置の販売、飼育設備の輸入・設計・施工及び保守等の業務 ■観賞用生物の卸・販売及び飼育用品の販売 ■ペット用品及び海の生体の販売代行・販売 ■生花、観葉植物、植木の輸入・卸・販売及び保守等の業務 ■インターネットによる通信販売業務 ■インターネットに関するコンサルティング業務及び販売代行業務,900万円,7人
2025/11/05 12:01:01,https://dairitenboshu.com/syo/9494,株式会社縁Planning,東京都品川区西五反田7-13-5DK五反田ビル3階,2015年,山下正雄,求人関連事業 Web関連事業 カウンセリング事業 コンサルタント事業,900万円,6人
2025/11/05 12:01:01,https://dairitenboshu.com/syo/9496,株式会社フェアーウェイ,東京都港区六本木５－１８－１８プレシャス六本木ビル 2F,1986年,安島 丈雄,映像制作事業 クラウド事業,3000万円,50人
2025/11/05 12:01:02,https://dairitenboshu.com/syo/9497,合同会社ダンクス,大阪府大阪市東淀川区西淡路1-1-28ライオンズマンション502,2014年,吉田雄太,大阪でポータルサイト運営システムを提供するポータルジャパンは6月24日、誰でも簡単に業種エリア特化型のポータルサイトが運用できるCMSの提供エリアを全国へと拡大すると発表しました。 6月1日よりサービスを開始しており、地元大阪を中心にポータルオーナーを募集していたが、10月末までに500件を超える成約があったため、掲載エリアを全国に拡大する。 全国展開に先立ち、スマートフォン向けWebページの表示見直しと表示速度の改善など、システムの改良とユーザー数の増加を踏まえ、月額料金が3万円となる。(代理店は別途初期費用15万円が必要)。 同社はCMSを独自開発しており、リアルな地元情報を掲載することで上位表示されやすいポータルサイトの提供を目指している。レスポンシブデザインも採用しており、ブレイクポイントを5カ所設けることで、スマホやタブレットの縦画面・横画面、PCの画面と多様化する端末に完全対応している。また、サイト上で確保した広告収益はすべてサイトオーナーに帰属するという。 スマホの普及により、ポータルサイトの需要が高まり、広告収益に興味を持たれる法人様・個人様が日に日に増えております。 『日本初のビジネスモデルです』 オーナー様は、今まで払う側・利用する側だったポータルサイトを、ポータルジャパンの初心者でも可能なポータルサイトでGoogle検索の上位表示し、ビルオーナーのように広告収入や掲載料などの自動収入が手に入ります。 今ならまだ、代理店募集に間に合います。 代理店様は、今ならさらにそのポータルサイトを販売でき、継続的なインセンティブが数百万円取ることが可能です。 まだこのインフラ事業をご検討されているのでしたら、ぜひまずはお問い合わせ下さい。 代理店募集は２０１６年３月末にて終了予定となっております。,100万円,2人
