店舗名,住所,電話番号,HP,詳細URL
鶏と魚と藁焼き酒場 カガヤキ,大阪府 大阪市福島区 福島 7-7-8,050-5594-6483,,https://tabelog.com/osaka/A2701/A270108/27144241/
クイントカント（QUINTOCANTO）,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館 1F,050-5570-5516,http://www.quinto-canto.com/,https://tabelog.com/osaka/A2701/A270108/27073813/
鉄板DINING O（テッパンダイニング オー）,大阪府 大阪市福島区 福島 5-8-14 福島吉紹ビル 5F,050-5592-6865,http://www.dining-o.com/,https://tabelog.com/osaka/A2701/A270108/27094235/
天ぷら 極 草哲,大阪府 大阪市福島区 福島 7-9-19 寺川ビル 1F,050-5456-3197,,https://tabelog.com/osaka/A2701/A270108/27149151/
福島 焼肉 藤四郎（トウシロウ）,大阪府 大阪市福島区 福島 7-21-15 2F,06-6454-1800,,https://tabelog.com/osaka/A2701/A270108/27124664/
新福島焼鳥 B3（ビースリー）,大阪府 大阪市福島区 福島 3-6-18 AchtHIKResidence福島 1F,06-4400-2497,https://b3-shinfukushima-yakitori.jp/,https://tabelog.com/osaka/A2701/A270108/27143461/
大阪餃子MARUKAMI,大阪府 大阪市福島区 福島 5-13-11 大伸ビル 1F,050-5869-8028,http://marukami-gyoza.com/,https://tabelog.com/osaka/A2701/A270108/27119866/
大阪福島焼肉 とっぷく,大阪府 大阪市福島区 福島 8-8-23,050-5590-6676,https://tabelog.com/osaka/A2701/A270108/27138485/,https://tabelog.com/osaka/A2701/A270108/27138485/
WAgyu 鬼く（ワギュウオニク）,大阪府 大阪市福島区 福島 5-13-6,050-5592-8333,,https://tabelog.com/osaka/A2701/A270108/27139483/
けんしん亭 新福島,大阪府 大阪市福島区 福島 4-5-56 三好ビル 1F,06-6940-6355,,https://tabelog.com/osaka/A2701/A270108/27105132/
福島大衆すき焼き すき六,大阪府 大阪市福島区 福島 3-8-20,050-5593-5352,,https://tabelog.com/osaka/A2701/A270108/27042254/
釜飯と割烹料理のお店 KIRAKU,大阪府 大阪市福島区 福島 8-8-17,050-5570-0224,,https://tabelog.com/osaka/A2701/A270108/27123855/
お好み酒家 ん（un）,大阪府 大阪市福島区 福島 1-6-31,050-5596-2804,,https://tabelog.com/osaka/A2701/A270108/27051265/
