取得日時,取得URL,名称,住所,TEL,設立,資本金,年商,部署,従業員,事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/rakutenseimei,楽天生命保険株式会社,東京都港区南青山二丁目6番21号 楽天クリムゾンハウス青山,,2007年10月1日,100億円（資本準備金25億円を含む）,,営業推進本部,,生命保険業 スーパー終身保険、スーパー定期保険、スーパーたよれる定期保険、定期保険、長期逓減定期保険、スーパー医療保険、スーパー医療保険戻るんです、医療保険1095α、スーパーたよれる医療保険、安心プラス、生活習慣病保険、災害補償保険、スーパーがん保険、スーパー2000、など
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/roota1,株式会社RooT-A,東京都新宿区西新宿8-15-17 住友不動産西新宿ビル2号館4階,,2021年7月,"9,000,000円",,代理店事業部,,携帯電話の販売 インターネット回線の販売 ライフライン事業 アライアンス事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/meotown,Alive Japan合同会社,東京都渋谷区渋谷2-19-15 宮益坂ビルディング6​09,,2022年1月4日,,,パートナー事業部,,SEO・MEO対策事業 webサイト制作・運営事業 webコンサルティング事業 決済システム取次事業 SNS運用コンサルティング事業 営業代行事業 広告代理・宣伝事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/miraiaist,株式会社ソフツー,東京都中央区築地1丁目13-14 NBF東銀座スクエア7F,,2008年7月8日,"2,000万円",,パートナー事業,,・クラウド型コールセンターシステムサービス事業 クラウド型CTIアプリケーションBlueBeanの開発・販売やOEM提供 ・AI電話自動応答・取り次ぎサービスの開発及び提供 クラウドAI電話アプリケーションミライAIの開発・販売 ・ホテル用電話機販売事業 ホテル客室・ロビー用アナログ/SIP電話機の販売
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/hojokuru,株式会社Rich Heart,大阪府大阪市北区西天満1-10-16 KSビル別館2階,,2017年11月7日,"2,000万円",,公的資金支援サービス事業部,60名（2023年10月現在）,公的資金支援サービス事業 人材派遣事業 アウトソーシング事業 有料職業紹介事業 WEBサービス事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/sypcthemeo,株式会社SYPHERCREATION,大阪府大阪市北区梅田2-4-9 ブリーゼタワー2F,,2023年1月20日,,1億円,営業本部,,MEO対策代行事業 Web制作事業 マーケティング事業 コールセンター事業 インフルエンサーマッチング事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/fls-webfuri,株式会社フォーライフシステム,大阪府大阪市中央区安土町1丁目6-14 朝日生命辰野ビル8F,,1997年10月1日,"3,500万円",,WFC事業部,,振込代行サービス業務
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/babysitter-hoikuen-mgoose,株式会社マザーグース,神奈川県茅ヶ崎市美住町2-10,,1994年2月4日,300万円,2億円,,,ベビーシッター請負業小規模保育園の運営 人材派遣・院内保育室
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/tensyokurecruittheone,株式会社The One,東京都中央区銀座7-13-20 銀座THビル9階,,2023年4月,"8,500,000円",,代理店募集事業部,,転職リクルーティング支援事業 不動産コンサルティング事業 婚活支援事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/onebenees,株式会社The One,東京都中央区銀座7-13-20 銀座THビル9階,,2023年4月,"8,500,000円",,代理店募集事業部,,転職リクルーティング支援事業 不動産コンサルティング事業 婚活支援事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/kuchikomittohl,株式会社HUMAN LIFE,東京都新宿区新宿2-16-6 新宿イーストスクエアビル3F,,2018年12月3日,1億3650万円（2025年1月31日現在）,,パートナー事業部,128名（2023年2月1日現在）,情報通信サービスを基盤としたテレコム事業及び サービス&ソリューション事業 インターネット接続サービスの提供
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/emcdenki,エルメック株式会社,大阪市西区江戸堀1-23-13 肥後橋ビル3号館1103,,,2000万円,,パートナー事業部,,電力小売事業 再生可能エネルギーの開発・運営 防災一式販売
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/greenpocket,国土緑化株式会社,東京都江戸川区中央2-1-21,,1977年（昭和52年）8月2日,"80,000,000円",,,75名（2024年6月現在）,総合緑化事業 ・観葉植物のレンタル ・生花販売 ・造園、解体工事 ・緑のレンタルFC「グリーン・ポケット」本部の運営
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/usenuair,株式会社USEN （USEN-NEXT GROUP）,東京都品川区上大崎3-1-1 目黒セントラルスクエア,,2017年6月16日,"9,641万円（グループ資本金）","1,932億円（2020年8月期連結）",,"4,845名（2020年8月期連結）",IoT PLATFORM事業 音楽配信事業 エネルギー事業 保険事業 開業、増移転支援サービス 店舗運用支援サービス 店舗通販サービス
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/plhikarigrpsougou,株式会社パートナーリンク 株主：株式会社HBD（光通信グループ）,東京都豊島区西池袋1-4-10 光ウエストゲートビル,,2024年6月5日,,,パートナー事業部,,販売代理店の紹介、斡旋業務 営業、マーケティングに関する支援、コンサルティング業務 ビジネスマッチング業務 コールセンターの運営、管理 情報提供サービス業
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/midsrskrngbz,合同会社アセンディア,東京都渋谷区道玄坂1-10-8 渋谷道玄坂東急ビル2F-C,,,,,パートナー事業部,,情報提供サービス・情報処理サービス業務 各種コンサルティング業務 マーケティング活動の企画・実施・支援 広告業及び広告代理店業
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/htbenergy,HTBエナジー株式会社,東京都豊島区西池袋一丁目4番10号,,2015年2月2日,10百万円,,パートナー事業部,,電力小売り事業（小売電気事業者登録番号：A0172）
